iteration,PSNR,SSIM,LPIPS
0,5.1587042808532715,0.0030734040774405003,0.8504163026809692
5,5.692622661590576,0.0034708427265286446,0.846813440322876
10,6.399772644042969,0.004078097641468048,0.8425042629241943
15,7.3094162940979,0.0053164223209023476,0.8369821906089783
20,8.470243453979492,0.00782376155257225,0.8308701515197754
25,9.950334548950195,0.012447379529476166,0.8233112096786499
30,11.840953826904297,0.02145814709365368,0.8134365677833557
35,14.297629356384277,0.0406993068754673,0.7874194383621216
40,17.770000457763672,0.08814568817615509,0.6991347670555115
45,23.670480728149414,0.24922122061252594,0.525497555732727
50,36.642906188964844,0.9260646104812622,0.15769527852535248
