iteration,PSNR,SSIM,LPIPS
0,6.200603008270264,0.0037867920473217964,0.8404498100280762
5,13.210891723632812,0.045609332621097565,0.7190364599227905
10,13.821349143981934,0.05496656894683838,0.7166659832000732
15,14.228130340576172,0.05803639441728592,0.7252814769744873
20,13.876433372497559,0.04403866454958916,0.7616316080093384
25,10.406418800354004,0.030242735520005226,0.8259829878807068
30,12.253214836120605,0.045032694935798645,0.8081961274147034
35,14.753807067871094,0.07237190008163452,0.7638334035873413
40,18.269786834716797,0.13064688444137573,0.6725581884384155
45,24.166545867919922,0.30150771141052246,0.5179755687713623
50,36.411739349365234,0.9080221652984619,0.24393492937088013
