iteration,PSNR,SSIM,LPIPS
0,8.437154769897461,0.0053635165095329285,0.8149949312210083
5,11.312881469726562,0.014892363920807838,0.7849202156066895
10,13.070944786071777,0.026855766773223877,0.7694580554962158
15,14.613677024841309,0.03929696977138519,0.7490177750587463
20,16.45939064025879,0.060340702533721924,0.7096654176712036
25,18.823583602905273,0.09978589415550232,0.6495662927627563
30,22.22079849243164,0.18868976831436157,0.5611135959625244
35,27.833969116210938,0.4435005187988281,0.43854865431785583
40,36.46221160888672,0.9262163043022156,0.15807703137397766
45,36.10643005371094,0.9135931730270386,0.1839904487133026
50,35.41557693481445,0.8968825340270996,0.20904576778411865
