iteration,PSNR,SSIM,LPIPS
0,10.917936325073242,0.009929103776812553,0.7838870286941528
5,10.558530807495117,0.010133919306099415,0.7906328439712524
10,11.77563190460205,0.014868127182126045,0.7782590389251709
15,13.142234802246094,0.022081170231103897,0.7644855380058289
20,14.750232696533203,0.034238606691360474,0.7463948726654053
25,16.71785545349121,0.05622709542512894,0.7107206583023071
30,19.314706802368164,0.10109204053878784,0.6468503475189209
35,23.176698684692383,0.21271777153015137,0.5539252758026123
40,29.53573226928711,0.5639162659645081,0.4004151225090027
45,34.4173583984375,0.8990657925605774,0.22252221405506134
50,34.185726165771484,0.8819106221199036,0.2590906023979187
