iteration,PSNR,SSIM,LPIPS
0,6.027668476104736,0.003869052743539214,0.7883026599884033
5,7.137172698974609,0.00553018506616354,0.7786369919776917
10,8.584908485412598,0.008307242766022682,0.7674362063407898
15,9.57491683959961,0.011499774642288685,0.7628599405288696
20,10.41139030456543,0.0158806424587965,0.7606936693191528
25,11.502963066101074,0.024064086377620697,0.7568245530128479
30,13.159985542297363,0.03983204811811447,0.7427422404289246
35,15.649397850036621,0.07198953628540039,0.6676847338676453
40,19.20580291748047,0.14745481312274933,0.5507815480232239
45,23.733129501342773,0.42381519079208374,0.4129957854747772
50,24.954452514648438,0.7243183255195618,0.3512381315231323
