iteration,PSNR,SSIM,LPIPS
0,5.859066963195801,0.0025526685640215874,0.7880258560180664
5,7.821038722991943,0.0038135251961648464,0.7706170082092285
10,9.438950538635254,0.005866909399628639,0.7574049830436707
15,10.869952201843262,0.008905462920665741,0.7457951307296753
20,12.246460914611816,0.013831838965415955,0.7313987612724304
25,13.659411430358887,0.022579563781619072,0.7110689282417297
30,15.189311027526855,0.04041312634944916,0.6800628900527954
35,16.920188903808594,0.08530662208795547,0.6301233768463135
40,18.749359130859375,0.2269546389579773,0.5373267531394958
45,20.003854751586914,0.37736523151397705,0.45416370034217834
50,20.364421844482422,0.3361080288887024,0.4766221046447754
