iteration,PSNR,SSIM,LPIPS
0,5.686302661895752,0.0018653604201972485,0.7887863516807556
5,7.059919357299805,0.0025319280102849007,0.7754617929458618
10,8.514124870300293,0.0038254321552813053,0.7641785144805908
15,10.034490585327148,0.006002916023135185,0.7536028623580933
20,11.58222770690918,0.009903881698846817,0.7418352365493774
25,13.093770027160645,0.017244607210159302,0.7234755754470825
30,14.478933334350586,0.03266353905200958,0.6944386959075928
35,15.67424201965332,0.07267794758081436,0.6461349725723267
40,16.57787322998047,0.20682694017887115,0.5687956213951111
45,17.007415771484375,0.3077775239944458,0.48823535442352295
50,17.186376571655273,0.2725679278373718,0.4903583526611328
